district,plot_number,geometry,lutheran_density,orthodox_density,total_density,estate_income,business_income,salary_pension_income,total_income,total_income_log
Anina,2,POINT (596169.6605290215 6731832.549020426),21.1175,1.2355,22.447,0.0,0.0,1.0,1.0,0.0
Anina,2,POINT (596169.6605290215 6731832.549020426),21.1175,1.2355,22.447,0.0,0.0,1.0,1.0,0.0
Anina,20,POINT (596111.3822619857 6731680.709263398),29.0186,1.2273,30.2656,,,,,
Anina,21,POINT (596128.3913771852 6731725.229330692),25.7806,1.0667,26.9023,,,,,
Anina,22,POINT (596145.4086407362 6731769.868502167),23.2274,1.1863,24.498,,,,,
Anina,23,POINT (596210.9381470303 6731744.429993641),18.3727,0.588,18.9965,,,,,
Anina,24,POINT (596193.8654330261 6731699.901658754),20.2382,0.4387,20.6864,,,,,
Anina,25,POINT (596177.021297775 6731655.999566653),27.5867,0.8887,28.4755,,,,,
Anina,26,POINT (596224.8094437516 6731637.677225759),25.336,0.7617,26.0977,,,,,
Anina,27,POINT (596241.2358711861 6731681.609683742),16.8982,0.3406,17.2388,,,,,
Anina,28,POINT (596258.6360887692 6731726.297935666),12.4023,0.1664,12.5712,,,,,
Anina,29,POINT (596294.2281855315 6731623.922615292),16.3438,0.4318,16.7757,,,,,
Anina,3,POINT (596187.458422068 6731878.782028438),19.2574,1.327,20.6873,,,,,
Anina,30,POINT (596320.7141666017 6731690.596340401),7.6675,0.1705,7.838,,,,,
Anina,31,POINT (596370.4629000155 6731500.668140193),11.7576,0.3573,12.1149,,,,,
Anina,32,POINT (596348.0936995593 6731509.400163189),15.7089,0.4653,16.1743,,,,,
Anina,33,POINT (596325.6168305816 6731518.176453013),19.3496,0.5626,19.9122,,,,,
Anina,34,POINT (596293.6102886404 6731530.905995595),23.3615,0.6829,24.0444,,,,,
Anina,35,POINT (596271.2642525926 6731539.632198225),26.9957,0.902,27.8977,,,,,
Anina,36,POINT (596248.8138925872 6731548.449003935),29.6885,1.0926,30.7812,1.0,0.0,3.0,4.0,1.3863
Anina,36,POINT (596248.8138925872 6731548.449003935),29.6885,1.0926,30.7812,0.0,0.0,1.0,1.0,0.0
Anina,36,POINT (596248.8138925872 6731548.449003935),29.6885,1.0926,30.7812,0.0,0.0,1.0,1.0,0.0
Anina,36,POINT (596248.8138925872 6731548.449003935),29.6885,1.0926,30.7812,0.0,0.0,1.0,1.0,0.0
Anina,36,POINT (596248.8138925872 6731548.449003935),29.6885,1.0926,30.7812,0.0,0.0,1.0,1.0,0.0
Anina,36,POINT (596248.8138925872 6731548.449003935),29.6885,1.0926,30.7812,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,4.0,0.0,0.0,4.0,1.3863
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,37,POINT (596211.478792363 6731561.988369382),34.7829,1.7431,36.526,0.0,0.0,1.0,1.0,0.0
Anina,38,POINT (596191.1615610097 6731569.918952091),33.0342,1.5354,34.5696,1.0,0.0,1.0,2.0,0.6931
Anina,38,POINT (596191.1615610097 6731569.918952091),33.0342,1.5354,34.5696,0.0,0.0,1.0,1.0,0.0
Anina,38,POINT (596191.1615610097 6731569.918952091),33.0342,1.5354,34.5696,0.0,0.0,1.0,1.0,0.0
Anina,38,POINT (596191.1615610097 6731569.918952091),33.0342,1.5354,34.5696,0.0,0.0,1.0,1.0,0.0
Anina,38,POINT (596191.1615610097 6731569.918952091),33.0342,1.5354,34.5696,0.0,0.0,1.0,1.0,0.0
Anina,38,POINT (596191.1615610097 6731569.918952091),33.0342,1.5354,34.5696,0.0,0.0,1.0,1.0,0.0
Anina,38,POINT (596191.1615610097 6731569.918952091),33.0342,1.5354,34.5696,0.0,0.0,1.0,1.0,0.0
Anina,39,POINT (596170.4915035763 6731578.02850086),34.9056,1.8434,36.749,,,,,
Anina,4,POINT (596204.8423256841 6731924.191242677),11.9011,0.8929,12.8652,,,,,
Anina,40,POINT (596138.2205181506 6731590.66816586),36.1742,2.1238,38.2981,,,,,
Anina,41,POINT (596118.6282498386 6731598.297891052),35.2316,2.0411,37.2727,,,,,
Anina,42,POINT (596098.5514673229 6731606.164784112),35.1979,2.2202,37.4181,,,,,
Anina,43,POINT (596068.629229599 6731617.134924999),34.6795,2.3507,37.0301,,,,,
Anina,44,POINT (596048.9686105644 6731624.802189888),32.7282,2.1524,34.8867,,,,,
Anina,45,POINT (596028.3459532027 6731632.855526949),33.2983,2.4817,35.8003,,,,,
Anina,46,POINT (595990.1366358401 6731645.995514486),32.4894,2.4036,34.9398,,,,,
Anina,47,POINT (595970.0062025327 6731653.767065374),33.9449,2.7573,36.7699,,,,,
Anina,48,POINT (595949.712154981 6731661.750747516),35.7871,3.143,39.0201,,,,,
Anina,49,POINT (595917.0170436663 6731674.355812329),33.7986,3.0683,36.9826,,,,,
Anina,5,POINT (596159.3309490638 6731941.293446611),17.5894,1.4316,19.1319,,,,,
Anina,50,POINT (595894.3586626267 6731680.182718855),35.5014,3.4975,39.1729,,,,,
Anina,51,POINT (595880.0576724962 6731657.009702862),41.9211,4.3214,46.5102,,,,,
Anina,52,POINT (595907.3576547217 6731648.456354911),39.5589,3.9444,43.6768,,,,,
Anina,53,POINT (595939.5807668507 6731635.955788094),38.7306,3.5864,42.4003,,,,,
Anina,54,POINT (595960.0772878635 6731627.897122812),38.7306,3.5864,42.4003,,,,,
Anina,55,POINT (595980.1606011741 6731619.978831419),36.6429,3.215,39.9193,,,,,
Anina,56,POINT (596018.4130083991 6731606.790073877),35.019,2.8844,37.9186,,,,,
Anina,57,POINT (596039.2149891142 6731598.633391169),34.3695,2.5641,36.9371,,,,,
Anina,58,POINT (596058.805073472 6731590.988136479),35.7271,2.8933,38.6214,1.0,0.0,0.0,1.0,0.0
Anina,58,POINT (596058.805073472 6731590.988136479),35.7271,2.8933,38.6214,0.0,1.0,0.0,1.0,0.0
Anina,58,POINT (596058.805073472 6731590.988136479),35.7271,2.8933,38.6214,0.0,0.0,1.0,1.0,0.0
Anina,58,POINT (596058.805073472 6731590.988136479),35.7271,2.8933,38.6214,0.0,0.0,1.0,1.0,0.0
Anina,58,POINT (596058.805073472 6731590.988136479),35.7271,2.8933,38.6214,0.0,0.0,1.0,1.0,0.0
Anina,59,POINT (596088.7211344438 6731579.880234488),36.5836,2.5546,39.1383,1.0,0.0,1.0,2.0,0.6931
Anina,59,POINT (596088.7211344438 6731579.880234488),36.5836,2.5546,39.1383,0.0,0.0,1.0,1.0,0.0
Anina,59,POINT (596088.7211344438 6731579.880234488),36.5836,2.5546,39.1383,0.0,0.0,1.0,1.0,0.0
Anina,6,POINT (596142.2206970082 6731896.072999066),20.1291,1.5504,21.7989,,,,,
Anina,60,POINT (596108.8102953925 6731571.959346719),36.5836,2.5546,39.1383,1.0,0.0,0.0,1.0,0.0
Anina,60,POINT (596108.8102953925 6731571.959346719),36.5836,2.5546,39.1383,0.0,0.0,2.0,2.0,0.6931
Anina,61,POINT (596128.3314393199 6731564.281969191),37.7709,2.6141,40.385,1.0,0.0,0.0,1.0,0.0
Anina,61,POINT (596128.3314393199 6731564.281969191),37.7709,2.6141,40.385,0.0,0.0,1.0,1.0,0.0
Anina,61,POINT (596128.3314393199 6731564.281969191),37.7709,2.6141,40.385,0.0,0.0,1.0,1.0,0.0
Anina,61,POINT (596128.3314393199 6731564.281969191),37.7709,2.6141,40.385,0.0,0.0,1.0,1.0,0.0
Anina,62,POINT (596160.5732913945 6731551.589388165),37.443,2.3626,39.8056,,,,,
Anina,63,POINT (596181.1811313957 6731543.446461727),36.6073,2.2072,38.8145,,,,,
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,1.0,0.0,3.0,4.0,1.3863
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,0.0,0.0,1.0,1.0,0.0
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,0.0,0.0,1.0,1.0,0.0
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,0.0,0.0,1.0,1.0,0.0
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,0.0,0.0,1.0,1.0,0.0
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,0.0,0.0,1.0,1.0,0.0
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,0.0,0.0,1.0,1.0,0.0
Anina,64,POINT (596201.4602079664 6731535.475012948),35.1561,1.872,37.0281,0.0,0.0,1.0,1.0,0.0
Anina,65,POINT (596238.7103483714 6731521.86026609),30.2197,1.1885,31.4082,1.0,0.0,0.0,1.0,0.0
Anina,65,POINT (596238.7103483714 6731521.86026609),30.2197,1.1885,31.4082,0.0,0.0,1.0,1.0,0.0
Anina,66,POINT (596261.1826302257 6731512.949932283),29.471,1.2237,30.6947,1.0,0.0,1.0,2.0,0.6931
Anina,66,POINT (596261.1826302257 6731512.949932283),29.471,1.2237,30.6947,0.0,0.0,1.0,1.0,0.0
Anina,66,POINT (596261.1826302257 6731512.949932283),29.471,1.2237,30.6947,0.0,0.0,1.0,1.0,0.0
Anina,67,POINT (596283.5430168773 6731504.174237416),26.3388,0.9229,27.2617,1.0,0.0,0.0,1.0,0.0
Anina,67,POINT (596283.5430168773 6731504.174237416),26.3388,0.9229,27.2617,0.0,0.0,1.0,1.0,0.0
Anina,67,POINT (596283.5430168773 6731504.174237416),26.3388,0.9229,27.2617,0.0,0.0,1.0,1.0,0.0
Anina,67,POINT (596283.5430168773 6731504.174237416),26.3388,0.9229,27.2617,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,68,POINT (596315.387679225 6731491.432225531),18.1448,0.5354,18.6802,0.0,0.0,1.0,1.0,0.0
Anina,69,POINT (596337.9272757812 6731482.572195563),14.6491,0.441,15.0901,,,,,
Anina,7,POINT (596124.7221653941 6731850.067782534),25.123,1.8051,27.0635,2.0,0.0,0.0,2.0,0.6931
Anina,7,POINT (596124.7221653941 6731850.067782534),25.123,1.8051,27.0635,0.0,0.0,1.0,1.0,0.0
Anina,7,POINT (596124.7221653941 6731850.067782534),25.123,1.8051,27.0635,0.0,0.0,3.0,3.0,1.0986
Anina,70,POINT (596360.2871418132 6731473.769873964),14.6491,0.441,15.0901,,,,,
Anina,71,POINT (596347.8861285439 6731434.599713371),10.6821,0.3349,11.017,,,,,
Anina,72,POINT (596325.4923237949 6731443.476758447),13.6041,0.4164,14.0205,,,,,
Anina,73,POINT (596302.8426826685 6731452.404676652),19.0598,0.596,19.6558,,,,,
Anina,74,POINT (596269.2675601754 6731466.025111862),21.8871,0.8119,22.699,1.0,0.0,2.0,3.0,1.0986
Anina,74,POINT (596269.2675601754 6731466.025111862),21.8871,0.8119,22.699,0.0,0.0,2.0,2.0,0.6931
Anina,74,POINT (596269.2675601754 6731466.025111862),21.8871,0.8119,22.699,0.0,0.0,1.0,1.0,0.0
Anina,74,POINT (596269.2675601754 6731466.025111862),21.8871,0.8119,22.699,0.0,0.0,1.0,1.0,0.0
Anina,74,POINT (596269.2675601754 6731466.025111862),21.8871,0.8119,22.699,0.0,0.0,1.0,1.0,0.0
Anina,75,POINT (596246.9421015575 6731474.835158447),27.4992,1.1926,28.6918,1.0,0.0,1.0,2.0,0.6931
Anina,75,POINT (596246.9421015575 6731474.835158447),27.4992,1.1926,28.6918,0.0,0.0,1.0,1.0,0.0
Anina,75,POINT (596246.9421015575 6731474.835158447),27.4992,1.1926,28.6918,0.0,0.0,1.0,1.0,0.0
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,2.0,0.0,1.0,3.0,1.0986
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,0.0,0.0,1.0,1.0,0.0
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,0.0,0.0,2.0,2.0,0.6931
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,0.0,0.0,1.0,1.0,0.0
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,0.0,0.0,1.0,1.0,0.0
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,0.0,0.0,1.0,1.0,0.0
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,0.0,0.0,1.0,1.0,0.0
Anina,76,POINT (596224.4020960898 6731483.791574508),29.766,1.5187,31.2847,0.0,0.0,1.0,1.0,0.0
Anina,77,POINT (596186.8381609586 6731498.912983779),35.2075,2.2444,37.4519,1.0,0.0,1.0,2.0,0.6931
Anina,77,POINT (596186.8381609586 6731498.912983779),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,77,POINT (596186.8381609586 6731498.912983779),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,77,POINT (596186.8381609586 6731498.912983779),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,78,POINT (596166.6589396303 6731506.901574648),35.2075,2.2444,37.4519,1.0,0.0,2.0,3.0,1.0986
Anina,78,POINT (596166.6589396303 6731506.901574648),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,78,POINT (596166.6589396303 6731506.901574648),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,78,POINT (596166.6589396303 6731506.901574648),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,78,POINT (596166.6589396303 6731506.901574648),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,78,POINT (596166.6589396303 6731506.901574648),35.2075,2.2444,37.4519,0.0,0.0,1.0,1.0,0.0
Anina,79,POINT (596146.0465516072 6731515.032767843),35.6586,2.533,38.1916,,,,,
