,district,plot_number,estate_income,business_income,salary_pension_income
311,Valli,56,8.0,40.0,0.0
312,Valli,56,0.0,0.0,6.0
313,Valli,57,8.0,0.0,0.0
314,Valli,57,0.0,25.0,0.0
315,Valli,57,0.0,20.0,0.0
316,Valli,57,0.0,0.0,2.0
317,Valli,57,0.0,0.0,1.0
318,Valli,57,0.0,0.0,1.0
319,Valli,58,0.0,0.0,15.0
320,Valli,58,0.0,0.0,10.0
321,Valli,58,0.0,0.0,2.0
322,Valli,59,25.0,0.0,0.0
323,Valli,59,0.0,10.0,0.0
324,Valli,59,0.0,4.0,0.0
325,Valli,59,0.0,10.0,0.0
326,Valli,59,0.0,0.0,3.0
327,Valli,59,0.0,0.0,2.0
328,Valli,60,14.0,0.0,50.0
329,Valli,60,0.0,0.0,35.0
330,Valli,60,0.0,0.0,3.0
331,Valli,60,0.0,0.0,1.0
332,Valli,60,0.0,30.0,0.0
333,Valli,60,0.0,0.0,1.0
334,Valli,60,0.0,0.0,4.0
335,Valli,60,0.0,0.0,1.0
336,Valli,"61,62",22.0,0.0,25.0
337,Valli,"61,62",0.0,0.0,30.0
338,Valli,"61,62",0.0,0.0,10.0
339,Valli,"61,62",0.0,0.0,20.0
