id,district,plot.number,plot.part,taxpayer.men,taxpayer.women,no.tax.men,no.tax.women,in.russia.men,in.russia.women,total.men,total.women,owner,rent,other,orthodox,other.christian,other.religion,draftee
194,1,45,,2,6,0,0,0,0,2,6,4,4,0,0,0,0,0
195,1,45,,4,4,2,3,0,0,6,7,11,2,0,0,0,0,0
196,1,45,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
197,1,45,,1,4,0,2,0,0,1,6,4,3,0,0,0,0,0
198,1,45,,1,1,1,0,0,0,2,1,3,0,0,0,0,0,0
199,1,45,,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0
200,1,45,,1,1,0,1,0,0,1,2,3,0,0,0,0,0,0
201,1,45,,1,3,1,3,0,0,2,6,0,8,0,0,0,0,0
202,1,46,,0,3,1,1,0,0,1,4,3,2,0,0,0,0,0
203,1,46,,1,3,3,1,0,0,4,4,6,2,0,0,0,0,0
204,1,46,,13,7,3,2,0,0,16,9,5,20,0,0,0,0,1
205,1,46,,2,2,3,1,0,0,5,3,6,2,0,0,0,0,0
206,1,46,,1,1,1,1,0,0,2,2,4,0,0,0,0,0,0
207,1,46,,1,2,0,1,0,0,1,3,3,1,0,0,0,0,0
208,1,46,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
209,1,46,,1,1,1,0,0,0,2,1,0,3,0,0,0,0,0
210,1,46,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
211,1,46,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
212,1,46,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
213,1,46,,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0
214,1,47,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
215,1,47,,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
216,1,47,,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
217,1,47,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
218,1,48,,0,0,7,5,0,0,7,5,0,12,0,12,0,0,0
219,1,48,,1,1,0,1,0,0,1,2,0,0,3,3,0,0,0
220,1,48,,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
221,1,48,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
222,1,48,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
223,1,48,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
224,1,48,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
